time,period,ips,ops,eps,capacity,actions,ipa,opa,epa,mininal
08:45,4,0,4,1,2,(0 1 1),0,1,1,"$51,83"
08:45,4,0,5,0,2,(0 2 0),0,2,0,"$62,75"
08:45,4,0,5,1,2,(0 1 1),0,1,1,"$68,20"
08:45,4,0,6,0,2,(0 2 0),0,2,0,"$79,12"
08:45,4,0,6,1,2,(0 1 1),0,1,1,"$84,57"
08:45,4,0,7,0,2,(0 2 0),0,2,0,"$95,48"
08:45,4,0,7,1,2,(0 1 1),0,1,1,"$103,67"
08:45,4,0,8,0,2,(0 2 0),0,2,0,"$114,58"
08:45,4,0,8,1,2,(0 1 1),0,1,1,"$122,77"
08:45,4,1,0,0,2,(1 0 0),1,0,0,"$10,91"
08:45,4,1,0,1,2,(1 0 1),1,0,1,"$10,91"
08:45,4,1,1,0,2,(1 1 0),1,1,0,"$21,82"
08:45,4,1,1,1,2,(0 1 1;1 0 1),0,1,1,"$24,55"
08:45,4,1,2,0,2,(0 2 0;1 1 0),0,2,0,"$35,47"
08:45,4,1,2,1,2,(0 1 1;1 0 1),0,1,1,"$38,19"
08:45,4,1,3,0,2,(0 2 0;1 1 0),0,2,0,"$49,11"
08:45,4,1,3,1,2,(0 1 1;1 0 1),0,1,1,"$51,83"
08:45,4,1,4,0,2,(0 2 0;1 1 0),0,2,0,"$62,75"
08:45,4,1,4,1,2,(0 1 1;1 0 1),0,1,1,"$68,20"
08:45,4,1,5,0,2,(0 2 0;1 1 0),0,2,0,"$79,12"
08:45,4,1,5,1,2,(0 1 1;1 0 1),0,1,1,"$84,57"
08:45,4,1,6,0,2,(0 2 0;1 1 0),0,2,0,"$95,48"
08:45,4,1,6,1,2,(0 1 1;1 0 1),0,1,1,"$103,67"
08:45,4,1,7,0,2,(0 2 0;1 1 0),0,2,0,"$114,58"
08:45,4,1,7,1,2,(0 1 1;1 0 1),0,1,1,"$122,77"
08:45,4,2,0,0,2,(2 0 0),2,0,0,"$21,82"
08:45,4,2,0,1,2,(1 0 1),1,0,1,"$24,55"
08:45,4,2,1,0,2,(1 1 0;2 0 0),1,1,0,"$35,47"
